Date	Selector	Album	Artist
2012-11-11	@Holette	Pacific Ocean Blue	Dennis Wilson
2012-11-18	@samsmitter	Heart Of The Congos	The Congos
2012-11-25	@JimMcCauley	The Incident	The Porcupine Tree
2012-12-02	@pamac66	Lost And Found	Daniel Johnston
2012-12-09	@thejayarr	Bring 'Em In	Mando Diao
2012-12-16	@dingster	Blind Melon	Blind Melon
2012-12-23	@eastvanhalen	Life on Planet Groove	Maceo Parker
2012-12-30	Everybody	#festivevortex - Best of 2012 special	Various
2013-01-06	@akx	Succubus	The Mount Fuji Doomjazz Corporation
2013-01-13	@faberfedor	Soundtrack to Ken Burns' Mark Twain documentary	Various
2013-01-20	@thejayarr	My _____ Is Pink	Colourmusic
2013-01-27	@MonkeyTypes	Ain't Ain't Ain't	Tim Fite
2013-02-03	@Jayesofine	The Intergalactic Republic Of Kongo	The Intergalactic Republic Of Kongo
2013-02-10	@Holette	MBV	My Bloody Valentine
2013-02-17	@JimMcCauley	The Moths Are Real	Serafina Steer
2013-02-24	@NeilPBardhan	Shack-Man	Medeski, Martin & Wood
2013-03-03	@tibieryo	Life'll Kill Ya	Warren Zevon
2013-03-10	@alliswoon	He Poos Clouds	Owen Pallett
2013-03-17	@JimMcCauley	Half-Speed Mastered	Aleister X
2013-03-24	@akx	Mir	Ott
2013-03-31	Everybody	#eastervortex - Non-English language special	Various
2013-04-07	@MonkeyTypes	Stacked Up	Senser
2013-04-14	@kleptones	Wonderful, Glorious	Eels
2013-04-21	@eastvanhalen	Twin Cinema	The New Pornographers
2013-04-28	@samsmitter	NME Pogo-A-Gogo	Various
2013-05-05	@Jayesofine	Joy 1967-1991	Ultra Vivid Scene
2013-05-12	@faberfedor	Caught In The Act	Redgum
2013-05-19	@MonkeyTypes	Bubble & Scrape	Sebadoh
2013-05-26	@akx	Discosis	Bran Van 3000
2013-06-02	@eastvanhalen	Money Jungle	Duke Ellington
2013-06-09	@NeilPBardhan	The Vilebillies	The Vilebillies
2013-06-16	@JimMcCauley	Resurrection	The Aerovons
2013-06-23	Everybody	#summervortex - Festival special	Various
2013-06-30	@jonnydapigg	Unplugged	Arrested Development
2013-07-07	@rougeforever	The Hazards Of Love	The Decemberists
2013-07-14	@Holette	Channel Orange	Frank Ocean
2013-07-21	@kleptones	Perils From The Sea	Mark Kozelek & Jimmy Lavalle
2013-07-28	Everybody	#videovortex - Music video special	Various
2013-08-04	@emmaprice	Since I Left You	The Avalanches
2013-08-11	@thejayarr	Sound Kapital	Handsome Furs
2013-08-18	@akx	Maybe You've Been Brainwashed Too	The New Radicals
2013-08-25	Everybody	#cytabttovortex - Covers special	Various
2013-09-01	@mrhig	Scott Walker Sings Jacques Brel	Scott Walker
2013-09-08	@eastvanhalen	Songs in the Key of Life	Stevie Wonder
2013-09-15	@morecheerful	Pushin' Against A Stone	Valerie June
2013-09-22	@mutster101	Grit	Martyn Bennett
2013-09-29	Everybody	#floorfillersvortex - Floor fillers special	Various
2013-10-06	@akx	Rossz Csillag Alatt Született	Venetian Snares
2013-10-13	@emmaprice	Diary Of A Soul Fiend	Saint Jude
2013-10-20	@JimMcCauley	Worry Bomb	Carter the Unstoppable Sex Machine
2013-10-27	Everybody	#scaryasfuckvortex - Hallowe'en special	Various
2013-11-03	@petemaskreplica	On The Corner	Miles Davis
2013-11-10	@cakehugga	The Glass Wall	Imani Coppola
2013-11-17	@rougeforever	In the Aeroplane Over the Sea	Neutral Milk Hotel
2013-11-24	@pamac66	X	Kristeen Young
2013-12-01	Everybody	#breakupvortex - Depressing special	Various
2013-12-08	@matthewesdigs	Bitte Orca	Dirty Projectors
2013-12-15	@kleptones	John Wizards	John Wizards
2013-12-22	@ohmyliver	Termination Dub	Glen Brown and King Tubby
2013-12-29	Everybody	#festivevortex - Best of 2013 special	Various
2014-01-05	@cdrose_writer	Femina	The Legendary Tigerman
2014-01-12	@Holette	Mug Museum	Cate Le Bon
2014-01-19	@samsmitter	Four Sail	Love
2014-01-26	Everybody	#cookingvortex - Edible special	Various
2014-02-02	@jonnydapigg	The Electro Vintage Sounds of the Speakeasy	Various
2014-02-09	@thejayarr	The Meadowlands	The Wrens
2014-02-16	@faberfedor	Faber's Favourite Mashups	Various
2014-02-23	Everybody	#drinkingvortex - Inebriated special	Various
2014-03-02	@eastvanhalen	Phaseshifter	Redd Kross
2014-03-09	@jimmmccauley	Nothing Lasts... But Nothing Is Lost	Shpongle
2014-03-16	@akx	White Light Mixes Volume 64	RAC
2014-03-23	@mutster101	Scratch My Back	Peter Gabriel
2014-03-30	Everybody	#travelvortex - Mobile special	Various
2014-04-06	@emmaprice	Broadside	Ian Siegal
2014-04-13	@nessiest	Soundtrack to Topless Women Talk About Their Lives	Various
2014-04-20	@mrhig	The Age of Adz	Sufjan Stevens
2014-04-27	Everybody	#swearyvortex - Foul-mouthed special	Various
2014-05-04	@samsmitter	Various Bob Dylan covers	Various
2014-05-11	@cakehugga	Jaye's BBQ Selection	Various
2014-05-18	@MonkeyTypes	Live At The Social Vol.2	Jon Carter
2014-05-25	Everybody	#myfirstlpvortex - Throwback special	Various
2014-06-01	@mrhig	Rain Dogs	Tom Waits
2014-06-08	@emmaprice	Miss America	Mary Margaret O'Hara
2014-06-15	@mutster101	Born to Die (Paradise Edition)	Lana Del Rey
2014-06-22	@eastvanhalen	The Definitive...	Thelonius Monk
2014-06-29	Everybody	#livevortex - Festival special reprise	Various
2014-07-06	@pamac66	Kill Your Darlings	Kid Loco
2014-07-13	@jonnydapigg	Scores	Hybrid
2014-07-20	@cakehugga	West Ghost	K.Flay
2014-07-27	Everybody	#nauticalvortex - Seafaring special	Various
2014-08-03	@JimMcCauley	Recurring	Spacemen 3
2014-08-10	@Holette	A Sea Of Split Peas	Courtney Barnett
2014-08-17	@andershanson	Beautiful Desolation	Paul Thomas Saunders
2014-08-24	@rougeforever	Blue	Joni Mitchell
2014-08-31	Everybody	#onehitwondervortex - Fleeting special	Various
2014-09-07	@cdrose_writer	Entropicalia	The Soundcarriers
2014-09-14	@mutster101	Catching a Tiger	Lissie
2014-09-21	@samsmitter	Arkology	Lee Scratch Perry
2014-09-28	Everybody	#songsyoulikebybandsyouhatevortex - 'Only one of theirs I like' special	Various
2014-10-05	@akx	Star of Love	Crystal Fighters
2014-10-12	@jonnydapigg	Everybody Down	Kate Tempest
2014-10-19	@andershanson	Feel It Break	Austra
2014-10-26	Everybody	#exquisitecorpsevortex - Breadcrumbs special	Various
2014-11-02	@mrhig	@#%&*! Smilers	Aimee Mann
2014-11-09	@saucer	Drop Out	The Herms
2014-11-16	@emmaprice	Sound of Silver	LCD Soundsystem
2014-11-23	@jonnydapigg	Now, Listen!	DJ Food and DK
2014-11-30	Everybody	#heremateyoureallyneedtohearthistrackvortex - Recommendations special	Various
2014-12-07	@faberfedor	Voyager 1 & Voyager 2	Symphonies Of The Planets
2014-12-14	@akx	Program Music 1	Kashiwa Daisuke
2014-12-21	@eastvanhalen	Run The Jewels 2	Run The Jewels
2014-12-28	Everybody	#festivevortex - Best of 2014 special	Various
2015-01-04	@faberfedor	Sgt. Pepper's Lonely Hearts Club Band - Instrumental Version	The Beatles
2015-01-11	@kleptones	Hot Dreams	Timber Timbre
2015-01-18	@pamac66	Funk The World, Vol. 5	Fort Knox Five
2015-01-25	Everybody	#tmolvortex - Sub-120 seconds special	Various
2015-02-01	@Holette	Volumes 9 & 10	The Desert Sessions
2015-02-08	@tibieryo	Old	Danny Brown
2015-02-15	@cdrose_writer	Tricolore	Haiku Salut
2015-02-22	Everybody	#sexyvortexy - Risqué special	Various
2015-03-01	@nessiest	Right from Real	Lydia Ainsworth
2015-03-08	@wojsvenwoj	The Secret Language of Subways	Amy X Neuberg
2015-03-15	@saucer	Gay Dog Food	Mykki Blanco
2015-03-22	@cakehugga	Ivory Tower Soundtrack	Chilly Gonzales
2015-03-29	Everybody	#walkofshamevortex - Morning after special	Various
2015-04-05	@JimMcCauley	The Joy of Sing-Sing	Sing Sing
2015-04-12	@mutster101	Undtil The End Of The World Soundtrack	Various
2015-04-19	@mrhig	Reflektor	Arcade Fire
2015-04-26	Everybody	#electionvortex - political special	Various
2015-05-03	@emmaprice	Garbage	Garbage
2015-05-10	@akx	Always & Forever - Americana 1 mixtape	Various
2015-05-17	@saucer	The Coincidentalist	Howe Gelb
2015-05-24	@rougeforever	Close Watch	John Cale
2015-05-31	Everybody	#summervortex - Summery special	Various
2015-06-07	@kleptones	Journeys By DJ - 70 Minutes Of Madness	Coldcut / Various
2015-06-14	@samsmitter	I Am Kurious Oranj	The Fall
2015-06-21	@holette	The Spice of Life	Marlena Shaw
2015-06-28	Everybody	#livevortex - Very live special	Various
2015-07-05	@eastvanhalen	Fencewalk: The Anthology	Mandrill
2015-07-12	@AndersHanson	Faded Seaside Glamour	Delays
2015-07-19	@Tibieryo	Yamantaka//Sonic Titan	YT/ST
2015-07-26	Everybody	#lastdancevortex	Various
2015-08-02	@thejayarr	Hieroglyphics	3rd Eye Vision
2015-08-09	@faberfedor	The Nitty Gritty Dirt Band	Will The Circle Be Unbroken
2015-08-16	@mrhig	Fantastic Plastic Machine	Luxury
2015-08-23	@nessiest	Fat Freddy's Drop	Based On A True Story
2015-08-30	Everybody	#sleepyvortex	Various
2015-09-06	@cdrose_writer	Lonelady	Hinterland
2015-09-13	@NeilPBardhan	?	?
2015-09-20	?	?	?
2015-09-27	Everybody	?	?
2015-10-04	?	?	?
2015-10-11	?	?	?
2015-10-18	?	?	?
2015-10-25	Everybody	?	?
2015-11-01	?	?	?
2015-11-08	?	?	?
2015-11-15	?	?	?
2015-11-22	?	?	?
2015-11-29	Everybody	?	?
2015-12-06	?	?	?
2015-12-13	?	?	?
2015-12-20	?	?	?
2015-12-27	Everybody	?	?
